Transcript_9,gi|594591606|ref|NM_010710.4|,Transcript_9,NM_010710.4,100.000,2294,0,0,1,2294,2,2295,0.0,4237
Transcript_9,gi|26343550|dbj|AK053572.1|,Transcript_9,AK053572.1,100.000,2285,0,0,1,2285,3,2287,0.0,4220
Transcript_9,gi|568913047|ref|XM_006497733.1|,Transcript_9,XM_006497733.1,98.964,2316,0,1,1,2292,546,2861,0.0,4122
Transcript_9,gi|33416473|gb|BC055741.1|,Transcript_9,BC055741.1,99.841,1892,2,1,276,2167,1,1891,0.0,3476
Transcript_9,gi|4406515|gb|AF124734.1|AF124734,Transcript_9,AF124734.1,99.573,1874,8,0,277,2150,3,1876,0.0,3417
Transcript_9,gi|594591555|ref|NM_001290646.1|,Transcript_9,NM_001290646.1,99.942,1713,1,0,582,2294,522,2234,0.0,3158
Transcript_9,gi|1039759228|ref|XM_006497738.3|,Transcript_9,XM_006497738.3,100.000,1709,0,0,585,2293,102,1810,0.0,3157
Transcript_9,gi|568913059|ref|XM_006497739.1|,Transcript_9,XM_006497739.1,100.000,1709,0,0,585,2293,206,1914,0.0,3157
Transcript_9,gi|568913059|ref|XM_006497739.1|,Transcript_9,XM_006497739.1,100.000,126,0,0,460,585,1,126,1.85e-58,233
Transcript_9,gi|56104572|gb|BC086638.1|,Transcript_9,BC086638.1,99.883,1711,1,1,582,2292,522,2231,0.0,3147
Transcript_9,gi|1039759227|ref|XM_006497736.3|,Transcript_9,XM_006497736.3,98.615,1733,0,1,585,2293,76,1808,0.0,3046
Transcript_9,gi|755497210|ref|XM_006497735.2|,Transcript_9,XM_006497735.2,98.615,1733,0,1,585,2293,104,1836,0.0,3046
Transcript_9,gi|568913049|ref|XM_006497734.1|,Transcript_9,XM_006497734.1,98.560,1736,1,1,582,2293,517,2252,0.0,3046
Transcript_9,gi|354790720|gb|JN955221.1|,Transcript_9,JN955221.1,100.000,899,0,0,1396,2294,36969,37867,0.0,1661
Transcript_9,gi|354790720|gb|JN955221.1|,Transcript_9,JN955221.1,100.000,585,0,0,1,585,12339,12923,0.0,1081
Transcript_9,gi|354790720|gb|JN955221.1|,Transcript_9,JN955221.1,100.000,408,0,0,785,1192,22577,22984,0.0,754
Transcript_9,gi|354790720|gb|JN955221.1|,Transcript_9,JN955221.1,100.000,210,0,0,1192,1401,28027,28236,3.74e-105,388
Transcript_9,gi|354790720|gb|JN955221.1|,Transcript_9,JN955221.1,100.000,205,0,0,585,789,14340,14544,2.25e-102,379
Transcript_9,gi|12000471|gb|AC078863.15|,Transcript_9,AC078863.15,100.000,899,0,0,1396,2294,9040,8142,0.0,1661
Transcript_9,gi|12000471|gb|AC078863.15|,Transcript_9,AC078863.15,100.000,585,0,0,1,585,26570,25986,0.0,1081
Transcript_9,gi|12000471|gb|AC078863.15|,Transcript_9,AC078863.15,100.000,408,0,0,785,1192,23434,23027,0.0,754
Transcript_9,gi|12000471|gb|AC078863.15|,Transcript_9,AC078863.15,100.000,210,0,0,1192,1401,17982,17773,3.74e-105,388
Transcript_9,gi|12000471|gb|AC078863.15|,Transcript_9,AC078863.15,100.000,205,0,0,585,789,24569,24365,2.25e-102,379
Transcript_9,gi|38564083|emb|BX813320.2|,Transcript_9,BX813320.2,100.000,899,0,0,1396,2294,1640,2538,0.0,1661
Transcript_9,gi|27848020|emb|AL929186.7|,Transcript_9,AL929186.7,100.000,585,0,0,1,585,180683,181267,0.0,1081
Transcript_9,gi|27848020|emb|AL929186.7|,Transcript_9,AL929186.7,100.000,408,0,0,785,1192,183819,184226,0.0,754
Transcript_9,gi|27848020|emb|AL929186.7|,Transcript_9,AL929186.7,100.000,361,0,0,1396,1756,198213,198573,0.0,667
Transcript_9,gi|27848020|emb|AL929186.7|,Transcript_9,AL929186.7,100.000,210,0,0,1192,1401,189271,189480,3.74e-105,388
Transcript_9,gi|27848020|emb|AL929186.7|,Transcript_9,AL929186.7,100.000,205,0,0,585,789,182684,182888,2.25e-102,379




